<<<<<<< HEAD
﻿0,1,2,3,4,5
五行,木,火,土,金,水
八卦与五行的对应,震、巽,离,坤、艮,乾、兑,坎
十天干与五行的对应,甲、乙,丙、丁,戊、己,庚、辛,壬、癸
地支与五行的对应,寅、卯,巳、午,辰、戌、丑、未,申、酉,亥、子
四季与五行的对应,春,夏,长夏,秋,冬
方位与五行的对应,东,南,中,西,北
气候与五行的对应,风,热,湿,燥,寒
物相与五行的对应,生,长,化,收,藏
颜色与五行的对应,青、绿,赤、红,黄,白,黑
性味与五行的对应,酸,苦,甘,辛,咸
五音与五行的对应,角,徵,宫,商,羽
河图天地数与入卦的配属,3,2,5,4,1
与五体、五官、五华相通,肝,心,脾,肺,肾
“五腑”合“三焦”习称六腑,胆,小肠,胃,大肠,膀胱
源自于“五”数的伦理规范,仁,礼,信,义,智
内在情感（情志）的外显,怒,喜,思,悲,恐
精神与五脏的内在牵连,魂,神,意,魄,志
=======
﻿0,1,2,3,4,5
五行,木,火,土,金,水
八卦与五行的对应,震、巽,离,坤、艮,乾、兑,坎
十天干与五行的对应,甲、乙,丙、丁,戊、己,庚、辛,壬、癸
地支与五行的对应,寅、卯,巳、午,辰、戌、丑、未,申、酉,亥、子
四季与五行的对应,春,夏,长夏,秋,冬
方位与五行的对应,东,南,中,西,北
气候与五行的对应,风,热,湿,燥,寒
物相与五行的对应,生,长,化,收,藏
颜色与五行的对应,青、绿,赤、红,黄,白,黑
性味与五行的对应,酸,苦,甘,辛,咸
五音与五行的对应,角,徵,宫,商,羽
河图天地数与入卦的配属,3,2,5,4,1
与五体、五官、五华相通,肝,心,脾,肺,肾
“五腑”合“三焦”习称六腑,胆,小肠,胃,大肠,膀胱
源自于“五”数的伦理规范,仁,礼,信,义,智
内在情感（情志）的外显,怒,喜,思,悲,恐
精神与五脏的内在牵连,魂,神,意,魄,志
>>>>>>> 01227678ef980a6c2bef4c0df3cae199206d27af
